date,Close,Open,High,Low,Volume,Score0,Distance0,Score1,Distance1,Score2,Distance2,Score3,Distance3,Score4,Distance4
Mon Dec 02 15:37:00 CET 2019,1290.165,1289.94,1290.165,1289.69,4582,0.0,2382000,-0.651828,2839000,0.826769,3539000,0.720074,7548000,0.97311,7620000
Mon Dec 02 15:14:00 CET 2019,1289.87,1289.86,1289.87,1289.86,430,0.0,1002000,-0.651828,1459000,0.826769,2159000,0.720074,6168000,0.97311,6240000
Mon Dec 02 15:54:00 CET 2019,1290.66,1291.3,1291.91,1290.54,6898,0.513257,572000,-0.304175,780000,0.0,3402000,-0.651828,3859000,0.826769,4559000
Mon Dec 02 14:32:00 CET 2019,1290.2,1290.19,1290.2,1290.19,742,0.720074,3648000,0.97311,3720000,0.580087,6541000,0.301296,9120000,-0.43028,10062000
Mon Dec 02 14:15:00 CET 2019,1287.7,1287.66,1287.86,1287.66,1997,0.720074,2628000,0.97311,2700000,0.580087,5521000,0.301296,8100000,-0.43028,9042000
Mon Dec 02 15:48:00 CET 2019,1292.15,1292.89,1293.0,1292.15,6232,0.513257,212000,-0.304175,420000,0.0,3042000,-0.651828,3499000,0.826769,4199000
Mon Dec 02 14:53:00 CET 2019,1290.5,1290.83,1290.83,1290.42,2558,-0.651828,199000,0.826769,899000,0.720074,4908000,0.97311,4980000,0.580087,7801000
Mon Dec 02 15:02:00 CET 2019,1289.93,1290.46,1290.5,1289.91,2040,0.0,282000,-0.651828,739000,0.826769,1439000,0.720074,5448000,0.97311,5520000
Mon Dec 02 15:23:00 CET 2019,1290.21,1290.21,1290.21,1290.21,377,0.0,1542000,-0.651828,1999000,0.826769,2699000,0.720074,6708000,0.97311,6780000
Mon Dec 02 15:17:00 CET 2019,1290.48,1290.3,1290.57,1290.3,2378,0.0,1182000,-0.651828,1639000,0.826769,2339000,0.720074,6348000,0.97311,6420000
Mon Dec 02 14:47:00 CET 2019,1291.26,1291.61,1291.61,1291.14,2263,0.826769,539000,0.720074,4548000,0.97311,4620000,0.580087,7441000,0.301296,10020000
Mon Dec 02 14:50:00 CET 2019,1291.4475,1291.48,1291.48,1291.4475,1097,-0.651828,19000,0.826769,719000,0.720074,4728000,0.97311,4800000,0.580087,7621000
Mon Dec 02 14:26:00 CET 2019,1289.41,1289.51,1289.51,1289.41,559,0.720074,3288000,0.97311,3360000,0.580087,6181000,0.301296,8760000,-0.43028,9702000
Mon Dec 02 15:51:00 CET 2019,1290.07,1290.66,1290.66,1290.07,6830,0.513257,392000,-0.304175,600000,0.0,3222000,-0.651828,3679000,0.826769,4379000
Mon Dec 02 15:34:00 CET 2019,1288.74,1288.69,1288.74,1288.69,1007,0.0,2202000,-0.651828,2659000,0.826769,3359000,0.720074,7368000,0.97311,7440000
Mon Dec 02 14:56:00 CET 2019,1290.38,1289.99,1290.38,1289.99,1939,-0.651828,379000,0.826769,1079000,0.720074,5088000,0.97311,5160000,0.580087,7981000
Mon Dec 02 14:37:00 CET 2019,1290.76,1291.46,1291.46,1290.72,1843,0.720074,3948000,0.97311,4020000,0.580087,6841000,0.301296,9420000,-0.43028,10362000
Mon Dec 02 14:14:00 CET 2019,1287.54,1287.4482,1287.54,1287.4482,1055,0.720074,2568000,0.97311,2640000,0.580087,5461000,0.301296,8040000,-0.43028,8982000
Mon Dec 02 15:45:00 CET 2019,1291.655,1291.715,1291.8,1291.63,5539,0.513257,32000,-0.304175,240000,0.0,2862000,-0.651828,3319000,0.826769,4019000
Mon Dec 02 15:03:00 CET 2019,1289.6,1290.0,1290.11,1289.577,5224,0.0,342000,-0.651828,799000,0.826769,1499000,0.720074,5508000,0.97311,5580000
Mon Dec 02 15:39:00 CET 2019,1289.94,1289.71,1290.1,1289.71,6710,0.0,2502000,-0.651828,2959000,0.826769,3659000,0.720074,7668000,0.97311,7740000
Mon Dec 02 14:42:00 CET 2019,1290.565,1290.565,1290.565,1290.565,550,0.826769,239000,0.720074,4248000,0.97311,4320000,0.580087,7141000,0.301296,9720000
Mon Dec 02 14:17:00 CET 2019,1288.65,1288.805,1288.97,1288.57,1495,0.720074,2748000,0.97311,2820000,0.580087,5641000,0.301296,8220000,-0.43028,9162000
Mon Dec 02 14:23:00 CET 2019,1289.65,1289.12,1289.65,1289.12,3224,0.720074,3108000,0.97311,3180000,0.580087,6001000,0.301296,8580000,-0.43028,9522000
Mon Dec 02 15:16:00 CET 2019,1290.14,1289.56,1290.14,1289.56,1742,0.0,1122000,-0.651828,1579000,0.826769,2279000,0.720074,6288000,0.97311,6360000
Mon Dec 02 15:31:00 CET 2019,1288.53,1288.41,1288.53,1288.41,794,0.0,2022000,-0.651828,2479000,0.826769,3179000,0.720074,7188000,0.97311,7260000
Mon Dec 02 14:34:00 CET 2019,1290.27,1290.33,1290.33,1290.27,1239,0.720074,3768000,0.97311,3840000,0.580087,6661000,0.301296,9240000,-0.43028,10182000
Mon Dec 02 14:59:00 CET 2019,1290.7,1290.99,1291.0,1290.7,820,0.0,102000,-0.651828,559000,0.826769,1259000,0.720074,5268000,0.97311,5340000
Mon Dec 02 15:56:00 CET 2019,1289.54,1288.19,1289.7,1288.19,6927,0.513257,692000,-0.304175,900000,0.0,3522000,-0.651828,3979000,0.826769,4679000
Mon Dec 02 15:00:00 CET 2019,1290.74,1290.85,1290.95,1290.65,1504,0.0,162000,-0.651828,619000,0.826769,1319000,0.720074,5328000,0.97311,5400000
Mon Dec 02 15:25:00 CET 2019,1289.58,1289.53,1289.66,1289.23,1946,0.0,1662000,-0.651828,2119000,0.826769,2819000,0.720074,6828000,0.97311,6900000
Mon Dec 02 15:08:00 CET 2019,1288.9,1289.3,1289.3,1288.9,1236,0.0,642000,-0.651828,1099000,0.826769,1799000,0.720074,5808000,0.97311,5880000
Mon Dec 02 15:42:00 CET 2019,1291.09,1291.035,1291.22,1291.035,1584,-0.304175,60000,0.0,2682000,-0.651828,3139000,0.826769,3839000,0.720074,7848000
Mon Dec 02 15:19:00 CET 2019,1290.74,1290.9551,1290.9551,1290.74,2126,0.0,1302000,-0.651828,1759000,0.826769,2459000,0.720074,6468000,0.97311,6540000
Mon Dec 02 14:45:00 CET 2019,1291.25,1290.77,1291.25,1290.77,1496,0.826769,419000,0.720074,4428000,0.97311,4500000,0.580087,7321000,0.301296,9900000
Mon Dec 02 14:20:00 CET 2019,1288.835,1289.0,1289.0,1288.835,832,0.720074,2928000,0.97311,3000000,0.580087,5821000,0.301296,8400000,-0.43028,9342000
Mon Dec 02 15:36:00 CET 2019,1289.76,1289.71,1289.81,1289.57,1542,0.0,2322000,-0.651828,2779000,0.826769,3479000,0.720074,7488000,0.97311,7560000
Mon Dec 02 15:11:00 CET 2019,1289.24,1289.25,1289.25,1289.24,313,0.0,822000,-0.651828,1279000,0.826769,1979000,0.720074,5988000,0.97311,6060000
Mon Dec 02 14:28:00 CET 2019,1289.69,1289.62,1289.69,1289.52,1303,0.720074,3408000,0.97311,3480000,0.580087,6301000,0.301296,8880000,-0.43028,9822000
